iter	RMSE
0	1.105160606
1	1.058959188
2	1.016766483
3	0.9790517029
4	0.9461534854
5	0.9148156096
6	0.8864790886
7	0.8606564688
8	0.8372904832
9	0.8158953127
10	0.7945062691
11	0.775812088
12	0.7595650129
13	0.7457387832
14	0.7327877405
15	0.7196842546
16	0.7040915308
17	0.694202676
18	0.6840164066
19	0.6748946828
20	0.6647697462
21	0.6555242275
22	0.6457350717
23	0.6378619699
24	0.6320711876
25	0.6274133878
26	0.620128632
27	0.6158912115
28	0.6101183428
29	0.6062380564
30	0.6027596248
31	0.5970112376
32	0.5933523926
33	0.5900379186
34	0.587261582
35	0.5828891846
36	0.5802367331
37	0.5752831982
38	0.5727926476
39	0.5695787761
40	0.5666919352
41	0.5636039717
42	0.5616748219
43	0.5593796488
44	0.5570241561
45	0.5557599904
46	0.5538477944
47	0.551796014
48	0.550321623
49	0.5490700065
50	0.5473459239
51	0.5450468971
52	0.542707748
53	0.5418163455
54	0.5405328069
55	0.538585535
56	0.5373077297
57	0.5359508175
58	0.5347389623
59	0.5333866466
60	0.5325426533
61	0.5306661083
62	0.5293485619
63	0.52821164
64	0.5275015904
65	0.5269540599
66	0.5261884869
67	0.5249150018
68	0.5244470019
69	0.522846719
70	0.5217891761
71	0.521257777
72	0.520264419
73	0.5196409356
74	0.5182641517
75	0.5173208068
76	0.515779977
77	0.5146047049
78	0.5138919781
79	0.5131357697
80	0.5123879027
81	0.5115747843
82	0.5109532567
83	0.5100838974
84	0.5093397916
85	0.5086750114
86	0.5073015872
87	0.5065117604
88	0.505193264
89	0.5043114602
90	0.5035993795
91	0.5029320514
92	0.5022856563
93	0.5017039515
94	0.501065617
95	0.500521812
96	0.4999323414
97	0.498955081
98	0.4983690286
99	0.4974160798
100	0.4966162552
101	0.4957398141
102	0.4952945681
103	0.4942916319
104	0.493509425
105	0.4929841557
106	0.4923324339
107	0.4919190845
108	0.4912057389
109	0.4906194748
110	0.4898493962
111	0.4894112777
112	0.488926927
113	0.4882998952
114	0.4876213581
115	0.4866776983
116	0.486325511
117	0.4854385625
118	0.4846662177
119	0.4841956816
120	0.4839331796
121	0.4833886281
122	0.482676804
123	0.4821684579
124	0.4813741643
125	0.4808696375
126	0.4803419134
127	0.4798707609
128	0.4793345258
129	0.4787712573
130	0.4780492117
131	0.4774102904
132	0.4768643494
133	0.4765428874
134	0.4761058549
135	0.4754981118
136	0.4749153154
137	0.474456949
138	0.4741045186
139	0.4735345578
140	0.4730956905
141	0.4727543163
142	0.4721801793
143	0.4715783333
144	0.4710732811
145	0.4706474432
146	0.4701891611
147	0.4696901111
148	0.4692258208
149	0.4683817673
150	0.4678090492
151	0.4673683243
152	0.4669706973
153	0.4666001486
154	0.4659974551
155	0.4655538804
156	0.4649999319
157	0.4645020803
158	0.4640491671
159	0.4630945351
160	0.4626781654
161	0.4622701308
162	0.4618188849
163	0.4614618815
164	0.4610179765
165	0.4605754156
166	0.4601498391
167	0.4596764039
168	0.4592228862
169	0.4586848133
170	0.4582126816
171	0.4579398985
172	0.4575610956
173	0.4572144612
174	0.4568167626
175	0.4564690367
176	0.4560300806
177	0.4557037217
178	0.4551852988
179	0.454939647
180	0.4546321479
181	0.4541255679
182	0.4535245842
183	0.4524293806
184	0.4519821614
185	0.4516311511
186	0.4512749538
187	0.4510217264
188	0.4505957675
189	0.4502390919
190	0.449480716
191	0.4491621543
192	0.4488971047
193	0.4480591041
194	0.4476907704
195	0.4471967843
196	0.4469437456
197	0.4463692613
198	0.4461141815
199	0.4458031598
200	0.4449762073
201	0.4445202029
202	0.4441263018
203	0.4437722562
204	0.4434070757
205	0.4431431655
206	0.4429226452
207	0.4426290104
208	0.4422858374
209	0.441637101
210	0.4413436939
211	0.4410636651
212	0.4407965599
213	0.4404552992
214	0.4401418454
215	0.4397810706
216	0.4390961174
217	0.4386806345
218	0.4382780812
219	0.4380127131
220	0.4377246719
221	0.4375413217
222	0.4371558911
223	0.4368205474
224	0.4365430022
225	0.4360670178
226	0.4358749566
227	0.4354485023
228	0.4351179644
229	0.4348518409
230	0.4346038727
231	0.4343289947
232	0.4339886796
233	0.4337751868
234	0.4333682959
235	0.4330176578
236	0.4328474957
237	0.4326671912
238	0.4322497866
239	0.4320097859
240	0.431788698
241	0.4315112415
242	0.4312337529
243	0.4309100934
244	0.4305651335
245	0.4301553898
246	0.4299015175
247	0.4297751696
248	0.4294729071
249	0.4290576044
250	0.4286928779
251	0.4284861565
252	0.4281943465
253	0.4277717812
254	0.4275481268
255	0.4267702347
256	0.4264151896
257	0.4262103497
258	0.4258835704
259	0.42569328
260	0.4254417079
261	0.4251361517
262	0.4245201683
263	0.4243021366
264	0.4240215399
265	0.4238772942
266	0.4236126697
267	0.4234049759
268	0.4232076516
269	0.4229183131
270	0.4225667944
