iter	Passed	Remaining
0	3	4876
1	6	4671
2	9	4652
3	12	4663
4	15	4559
5	18	4576
6	21	4575
7	24	4532
8	27	4500
9	29	4461
10	32	4440
11	35	4433
12	38	4405
13	41	4379
14	44	4362
15	46	4349
16	49	4341
17	52	4356
18	55	4350
19	58	4347
20	61	4338
21	64	4338
22	67	4309
23	69	4290
24	72	4284
25	75	4271
26	77	4252
27	80	4241
28	83	4228
29	86	4219
30	88	4200
31	91	4183
32	94	4179
33	96	4179
34	99	4175
35	102	4166
36	105	4164
37	108	4162
38	111	4159
39	113	4149
40	116	4137
41	118	4129
42	121	4128
43	124	4122
44	127	4115
45	129	4104
46	132	4098
47	135	4098
48	138	4089
49	140	4085
50	143	4084
51	146	4076
52	149	4071
53	151	4061
54	154	4057
55	157	4059
56	160	4054
57	162	4048
58	165	4046
59	168	4043
60	171	4039
61	174	4042
62	176	4037
63	179	4029
64	182	4023
65	184	4016
66	187	4017
67	192	4043
68	194	4037
69	197	4034
70	200	4033
71	203	4033
72	206	4027
73	208	4019
74	211	4011
75	213	4005
76	216	4008
77	219	4004
78	222	4002
79	225	3996
80	227	3991
81	230	3986
82	233	3982
83	235	3975
84	238	3969
85	241	3965
86	243	3960
87	246	3954
88	249	3953
89	252	3949
90	254	3945
91	257	3940
92	260	3938
93	263	3936
94	266	3937
95	269	3938
96	272	3937
97	275	3936
98	277	3933
99	281	3934
100	283	3932
101	286	3928
102	289	3923
103	292	3926
104	295	3922
105	297	3916
106	300	3917
107	303	3912
108	306	3908
109	309	3904
110	311	3899
111	314	3893
112	316	3889
113	319	3885
114	322	3884
115	325	3882
116	328	3878
117	330	3875
118	333	3872
119	336	3869
120	339	3865
121	342	3863
122	344	3860
123	347	3855
124	350	3850
125	352	3847
126	355	3842
127	358	3841
128	360	3836
129	363	3831
130	366	3826
131	368	3823
132	371	3822
133	374	3818
134	377	3816
135	380	3813
136	383	3813
137	386	3809
138	388	3805
139	391	3801
140	393	3796
141	396	3793
142	399	3793
143	402	3792
144	405	3788
145	408	3784
146	410	3781
147	413	3779
148	416	3778
149	419	3775
150	422	3771
151	424	3768
152	427	3766
153	430	3763
154	433	3761
155	436	3759
156	439	3757
157	442	3754
158	444	3752
159	447	3748
160	450	3745
161	452	3741
162	455	3737
163	458	3734
164	461	3731
165	464	3730
166	467	3728
167	469	3725
168	472	3723
169	475	3722
170	478	3718
171	481	3714
172	483	3710
173	486	3706
174	489	3705
175	492	3701
176	494	3698
177	497	3694
178	500	3690
179	503	3688
180	505	3686
181	508	3684
182	511	3680
183	514	3677
184	516	3673
185	519	3670
186	522	3666
187	524	3662
188	527	3659
189	530	3656
190	533	3652
191	535	3650
192	538	3648
193	541	3645
194	544	3641
195	546	3636
196	549	3633
197	551	3629
198	554	3626
199	557	3622
200	560	3619
201	562	3616
202	565	3614
203	568	3610
204	570	3606
205	573	3603
206	576	3599
207	579	3596
208	581	3594
209	584	3589
210	587	3586
211	589	3582
212	592	3579
213	595	3575
214	597	3571
215	600	3568
216	602	3564
217	605	3561
218	608	3559
219	611	3556
220	613	3553
221	616	3549
222	619	3545
223	621	3542
224	624	3539
225	627	3535
226	630	3533
227	632	3530
228	635	3526
229	638	3522
230	640	3519
231	643	3516
232	646	3513
233	648	3510
234	651	3507
235	654	3503
236	657	3501
237	659	3497
238	662	3493
239	664	3491
240	667	3488
241	670	3484
242	673	3481
243	675	3478
244	678	3474
245	680	3470
246	683	3466
247	686	3463
248	688	3460
249	691	3456
250	693	3452
251	696	3450
252	699	3447
253	702	3445
254	705	3442
255	707	3439
256	710	3436
257	713	3432
258	715	3429
259	718	3425
260	720	3422
261	723	3419
262	726	3417
263	729	3415
264	732	3411
265	734	3408
266	737	3405
267	740	3402
268	742	3399
269	745	3395
270	748	3393
271	751	3391
272	754	3389
273	756	3387
274	759	3384
275	762	3381
276	765	3378
277	767	3374
278	770	3371
279	773	3368
280	775	3366
281	778	3362
282	781	3359
283	783	3356
284	786	3353
285	789	3350
286	792	3347
287	795	3345
288	798	3343
289	800	3342
290	803	3339
291	806	3338
292	810	3337
293	813	3335
294	816	3333
295	818	3330
296	821	3328
297	824	3325
298	827	3322
299	830	3320
300	832	3316
301	835	3313
302	838	3310
303	840	3308
304	843	3306
305	846	3302
306	849	3299
307	851	3297
308	854	3293
309	857	3291
310	860	3288
311	862	3285
312	865	3283
313	868	3279
314	870	3276
315	873	3274
316	876	3272
317	879	3270
318	883	3269
319	886	3268
320	889	3266
321	892	3264
322	895	3263
323	898	3261
324	901	3260
325	904	3257
326	907	3254
327	910	3251
328	912	3249
329	915	3246
330	919	3246
331	922	3246
332	925	3245
333	928	3242
334	932	3244
335	936	3243
336	939	3241
337	942	3238
338	944	3236
339	947	3233
340	950	3230
341	953	3227
342	955	3223
343	958	3221
344	961	3219
345	964	3216
346	967	3213
347	969	3210
348	972	3208
349	975	3204
350	978	3202
351	980	3199
352	983	3196
353	986	3193
354	989	3190
355	991	3187
356	994	3184
357	997	3182
358	1000	3180
359	1003	3177
360	1005	3173
361	1008	3170
362	1011	3168
363	1014	3164
364	1016	3161
365	1019	3159
366	1022	3156
367	1025	3153
368	1027	3150
369	1030	3147
370	1033	3144
371	1036	3142
372	1039	3140
373	1041	3136
374	1044	3133
375	1047	3130
376	1049	3127
377	1052	3124
378	1055	3122
379	1058	3119
380	1061	3116
381	1063	3113
382	1066	3110
383	1069	3106
384	1071	3104
385	1074	3101
386	1077	3098
387	1079	3095
388	1082	3091
389	1085	3090
390	1088	3087
391	1091	3084
392	1093	3080
393	1096	3077
394	1099	3075
395	1102	3072
396	1104	3069
397	1107	3066
398	1110	3063
399	1112	3060
400	1115	3057
401	1118	3054
402	1120	3050
403	1123	3047
404	1126	3044
405	1128	3042
406	1131	3039
407	1134	3036
408	1137	3033
409	1139	3030
410	1142	3027
411	1145	3025
412	1148	3022
413	1150	3018
414	1153	3016
415	1156	3013
416	1159	3010
417	1161	3007
418	1164	3004
419	1167	3001
420	1170	2998
421	1173	2996
422	1175	2993
423	1178	2990
424	1181	2988
425	1184	2986
426	1187	2984
427	1190	2982
428	1193	2980
429	1196	2977
430	1199	2974
431	1202	2971
432	1204	2969
433	1207	2966
434	1210	2963
435	1213	2960
436	1215	2957
437	1218	2954
438	1221	2951
439	1223	2947
440	1226	2944
441	1228	2941
442	1231	2939
443	1234	2936
444	1237	2933
445	1240	2931
446	1243	2928
447	1246	2926
448	1249	2924
449	1252	2922
450	1255	2920
451	1258	2917
452	1260	2914
453	1263	2912
454	1266	2909
455	1269	2906
456	1272	2903
457	1274	2900
458	1277	2897
459	1280	2894
460	1283	2891
461	1285	2888
462	1288	2885
463	1291	2882
464	1293	2879
465	1296	2876
466	1299	2874
467	1302	2871
468	1305	2869
469	1308	2867
470	1312	2866
471	1315	2864
472	1317	2861
473	1320	2859
474	1324	2857
475	1327	2855
476	1330	2852
477	1332	2849
478	1335	2847
